

1.82,7.18,0.72,3


7.30,-5.10,1.25,4


75.72,-7.05,-5.26,1


4.18,-4.43,-0.09,2


1.62,7.35,0.61,3


7.51,-5.14,1.39,4


78.20,-7.05,-5.53,1


4.16,-4.42,-0.08,2


1.22,7.70,0.53,3


7.82,-5.27,1.59,4


80.51,-7.05,-5.77,1


4.09,-4.39,-0.06,2


0.79,7.94,0.49,3


8.02,-5.23,1.83,4


82.39,-7.04,-5.95,1


4.16,-4.39,-0.05,2


0.47,8.08,0.49,3


8.21,-5.14,1.98,4


84.22,-6.99,-6.13,1


4.31,-4.44,-0.05,2


0.25,8.20,0.59,3


8.57,-4.95,2.13,4


85.83,-6.96,-6.27,1


4.23,-4.07,-0.01,2


0.03,8.23,0.70,3


8.85,-5.03,2.18,4


87.18,-6.95,-6.38,1


4.32,-3.76,0.03,2


-0.02,8.26,0.77,3


8.92,-5.20,2.14,4


88.46,-6.91,-6.48,1


4.46,-3.71,0.02,2


0.07,8.23,0.90,3


9.14,-5.53,1.96,4


89.53,-6.85,-6.55,1


4.49,-3.59,0.05,2


0.24,8.15,0.99,3


9.10,-6.00,1.97,4


90.46,-6.80,-6.61,1


4.47,-3.59,0.09,2


0.41,8.02,0.93,3


9.20,-6.39,1.92,4


91.35,-6.77,-6.66,1


4.50,-3.18,0.16,2


0.60,7.96,0.89,3


9.41,-6.69,1.79,4


92.13,-6.77,-6.69,1


4.57,-1.27,0.25,2


0.62,7.86,0.73,3


9.59,-7.04,1.64,4


92.82,-6.74,-6.71,1


4.79,-0.09,0.35,2


0.54,7.89,0.54,3


9.49,-7.37,1.55,4


93.42,-6.71,-6.71,1


4.91,0.42,0.41,2


0.46,7.87,0.27,3


9.39,-7.71,1.55,4


93.98,-6.68,-6.73,1


4.68,1.71,0.51,2


0.58,8.06,0.30,3


9.43,-7.80,1.42,4


94.41,-6.65,-6.72,1


4.13,5.56,0.50,2


0.39,8.04,0.29,3


9.51,-7.62,1.15,4


94.83,-6.58,-6.70,1


3.86,8.07,0.30,2


0.34,8.16,0.37,3


9.68,-7.09,0.65,4


95.23,-6.55,-6.69,1


3.58,9.70,0.21,2


0.38,8.08,0.56,3


9.79,-6.18,0.29,4


95.54,-6.50,-6.67,1


3.38,11.89,0.24,2


0.50,8.31,0.89,3


9.89,-5.49,0.04,4


95.87,-6.46,-6.65,1


3.00,14.86,0.22,2


0.55,8.53,1.46,3


9.86,-5.02,-0.07,4


96.13,-6.43,-6.62,1


2.56,17.60,0.18,2


0.59,8.84,1.95,3


9.85,-4.16,-0.12,4


96.37,-6.43,-6.59,1


2.24,19.65,0.17,2


0.68,9.02,2.22,3


9.89,-3.50,-0.14,4


96.54,-6.39,-6.56,1


1.99,21.17,0.17,2


0.72,9.20,2.36,3


9.96,-3.19,-0.11,4


96.71,-6.36,-6.52,1


1.73,22.34,0.30,2


0.74,9.40,2.49,3


10.09,-2.76,-0.19,4


96.87,-6.37,-6.50,1


1.53,24.35,0.29,2


0.75,9.52,2.58,3


10.17,-2.83,-0.23,4


97.00,-6.35,-6.46,1


1.44,25.31,0.30,2


0.66,9.76,2.64,3


10.20,-2.60,-0.34,4


97.14,-6.32,-6.43,1


0.72,28.99,-0.22,2


0.59,10.00,2.68,3


9.96,-2.56,-0.40,4


97.15,-6.35,-6.36,1


0.44,31.12,-0.58,2


0.58,10.11,2.70,3


9.82,-2.53,-0.32,4


97.21,-6.33,-6.31,1


0.45,32.00,-0.66,2


0.56,10.20,2.78,3


9.84,-2.28,-0.12,4


97.27,-6.35,-6.27,1


0.19,34.27,-0.94,2


0.55,10.30,2.87,3


9.85,-2.16,-0.07,4


97.36,-6.31,-6.24,1


-0.04,37.04,-1.38,2


0.54,10.39,2.91,3


10.03,-2.00,0.01,4


97.40,-6.36,-6.20,1


-0.22,39.53,-1.71,2


0.51,10.44,2.95,3


10.06,-1.73,-0.02,4


97.48,-6.40,-6.17,1


-0.49,41.01,-1.80,2


0.38,10.66,3.02,3


9.88,-1.43,-0.01,4


97.54,-6.37,-6.14,1


-0.75,41.99,-1.87,2


0.38,10.85,3.10,3


9.78,-1.42,0.01,4


97.59,-6.39,-6.10,1


-0.68,42.41,-1.87,2


0.48,10.97,3.17,3


9.96,-1.19,-0.05,4


97.62,-6.40,-6.07,1


-0.68,43.38,-1.88,2


0.55,11.11,3.23,3


9.80,-1.14,-0.04,4


97.64,-6.42,-6.04,1


-0.97,44.57,-2.03,2


0.70,11.21,3.29,3


9.69,-0.83,-0.03,4


97.68,-6.39,-6.00,1


-0.91,45.65,-2.13,2


0.81,11.23,3.31,3


9.45,-0.83,-0.02,4


97.69,-6.36,-5.97,1


-1.05,46.16,-2.31,2


0.86,11.25,3.31,3


9.50,-0.44,-0.00,4


97.71,-6.36,-5.94,1


-1.10,46.14,-2.25,2


0.88,11.26,3.29,3


9.74,-0.36,0.00,4


97.72,-6.38,-5.91,1


-0.92,45.97,-1.96,2


0.85,11.27,3.26,3


9.74,-0.27,-0.04,4


97.78,-6.41,-5.89,1


-0.85,47.18,-1.98,2


0.76,11.19,3.21,3


9.66,-0.26,-0.08,4


97.81,-6.40,-5.85,1


-1.06,47.88,-2.22,2


0.63,11.17,3.17,3


9.38,0.00,-0.01,4


97.82,-6.37,-5.82,1


-1.16,47.66,-2.27,2


0.48,11.20,3.12,3


9.33,0.24,0.05,4


97.82,-6.37,-5.80,1


-1.31,47.22,-2.08,2


0.31,11.33,3.08,3


9.29,0.61,0.09,4


97.82,-6.39,-5.76,1


-1.23,47.75,-1.96,2


0.26,11.26,3.09,3


9.34,0.81,0.12,4


97.86,-6.35,-5.73,1


-1.39,48.18,-2.09,2


0.22,11.26,3.09,3


9.19,0.90,0.12,4


97.87,-6.34,-5.71,1


-1.48,48.17,-2.11,2
